name,type,size,lines,averge line length,
draw_internal,h,3864,183,20.1,
iglib,cpp,1618,87,17.6,
iglib,h,358,26,12.8,
internal,cpp,3889,213,17.3,
internal,h,1532,57,25.9,
intrinsics,h,701,31,21.6,
pch,cpp,17,1,16.0,
pch,h,1952,76,24.4,
_iglib_application_config,h,231,14,15.5,
_iglib_base,h,1807,124,13.6,
_iglib_batchdraw,cpp,983,54,17.2,
_iglib_batchdraw,h,421,26,15.2,
_iglib_camera,h,443,23,18.3,
_iglib_canvas,cpp,16746,614,26.3,
_iglib_canvas,h,4267,124,33.4,
_iglib_color,h,1300,42,30.0,
_iglib_errors,h,178,17,9.5,
_iglib_font,cpp,3916,137,27.6,
_iglib_font,h,584,41,13.2,
_iglib_image,cpp,9411,414,21.7,
_iglib_image,h,1500,69,20.7,
_iglib_indexbuffer,cpp,1544,71,20.7,
_iglib_indexbuffer,h,1006,45,21.4,
_iglib_matrix,h,1919,81,22.7,
_iglib_polygon,cpp,65,8,7.1,
_iglib_polygon,h,1274,73,16.5,
_iglib_rect,h,2596,106,23.5,
_iglib_refcounter,h,724,57,11.7,
_iglib_shader,cpp,9330,424,21.0,
_iglib_shader,h,1571,56,27.1,
_iglib_ssm2,cpp,3765,196,18.2,
_iglib_ssm2,h,620,36,16.2,
_iglib_text,h,1137,50,21.7,
_iglib_texture,cpp,3216,152,20.2,
_iglib_texture,h,1111,44,24.2,
_iglib_transform,h,8893,328,26.1,
_iglib_vector,h,20034,856,22.4,
_iglib_vertex,cpp,3802,172,21.1,
_iglib_vertex,h,3547,131,26.1,
_iglib_vertexarray,h,56,6,8.3,
_iglib_wavefront_obj,cpp,984,57,16.3,
_iglib_wavefront_obj,h,635,52,11.2,
_iglib_window,cpp,23286,909,24.6,
_iglib_window,h,6604,325,19.3,
